masculine,masculine_merriam,masculine_wordnet,feminine,feminine_merriam,feminine_wordnet,neutral,neutral_merriam,neutral_wordnet
abbot,masc,neutral,abbess,fem,neutral,,,
actor,neutral,neutral,actress,fem,fem,cast-member,,
administrator,neutral,neutral,administratrix,fem,,administrator,neutral,neutral
author,neutral,neutral,authoress,fem,fem,author,neutral,neutral
bachelor,masc,masc,maid,fem,fem,,,
baron,masc,neutral,baroness,fem,neutral,noble,neutral,neutral
benefactor,neutral,neutral,benefactress,fem,fem,,,
boy,masc,masc,girl,fem,fem,kid,neutral,neutral
boyfriend,masc,masc,girlfriend,fem,fem,lover,neutral,neutral
brave,neutral,neutral,squaw,fem,fem,,,
brother,masc,masc,sister,fem,fem,sibling,neutral,neutral
bull,masc,masc,cow,fem,fem,,,
bull-calf,,,cow-calf,neutral,,,,
cock,masc,masc,hen,fem,fem,,,
cock-sparrow,neutral,,hen-sparrow,,,,,
conductor,neutral,neutral,conductress,fem,fem,,,
count,neutral,neutral,countess,fem,fem,noble,neutral,neutral
czar,masc,masc,czarina,fem,neutral,,,
dad,masc,neutral,mum,neutral,neutral,parent,neutral,neutral
daddy,neutral,neutral,mummy,neutral,neutral,,,
doctor,masc,neutral,lady-doctor,,,doctor,masc,neutral
drake,masc,masc,duck,fem,neutral,,,
drone,masc,masc,bee,neutral,neutral,,,
duke,masc,neutral,duchess,fem,neutral,noble,neutral,neutral
editor,neutral,neutral,editress,fem,,editor,neutral,neutral
emperor,masc,masc,empress,fem,fem,ruler,neutral,neutral
enchanter,neutral,neutral,enchantress,fem,fem,,,
father,masc,masc,mother,fem,fem,parent,neutral,neutral
father-in-law,neutral,neutral,mother-in-law,neutral,neutral,parent-in-law,neutral,
fiance,masc,masc,fiancee,fem,fem,betrothed,neutral,neutral
fireman,masc,neutral,firewomen,fem,,fire fighter,neutral,neutral
founder,neutral,neutral,foundress,fem,fem,founder,neutral,neutral
friar,neutral,masc,nun,fem,fem,friar,neutral,masc
gander,masc,masc,goose,fem,masc,,,
gentleman,masc,masc,lady,fem,fem,,,
giant,neutral,neutral,giantess,fem,fem,,,
god,neutral,masc,goddess,fem,fem,,,
governor,neutral,neutral,matron,fem,fem,governor,neutral,neutral
grandfather,neutral,neutral,grandmother,fem,neutral,grandparent,neutral,neutral
grandson,neutral,masc,granddaughter,neutral,fem,grandchild,neutral,neutral
groom,masc,masc,bride,fem,fem,betrothed,neutral,neutral
hart,masc,masc,roe,neutral,fem,,,
he-goat,,masc,she-goat,,fem,,,
headmaster,masc,neutral,headmistress,fem,fem,headmaster,masc,neutral
heir,neutral,neutral,heiress,fem,fem,,,
hero,masc,masc,heroine,fem,fem,,,
host,neutral,neutral,hostess,fem,fem,,,
hunter,neutral,neutral,huntress,fem,fem,,,
husband,masc,masc,wife,fem,fem,spouse,neutral,neutral
inheritor,neutral,neutral,inheritress,neutral,fem,inheritor,neutral,neutral
inspector,neutral,neutral,inspectress,fem,,inspector,neutral,neutral
instructor,neutral,neutral,instructress,fem,fem,instructor,neutral,neutral
jew,neutral,neutral,jewess,neutral,fem,,,
king,masc,neutral,queen,fem,fem,ruler,neutral,neutral
lad,masc,masc,lass,fem,neutral,child,fem,neutral
landlord,masc,neutral,landlady,fem,neutral,land-owner,neutral,
lion,neutral,neutral,lioness,fem,fem,,,
male,masc,neutral,female,fem,neutral,human,neutral,neutral
man,masc,masc,woman,fem,fem,person,neutral,neutral
manager,neutral,neutral,manageress,fem,fem,manager,neutral,neutral
manservant,masc,masc,maidservant,fem,fem,servant,neutral,neutral
master,masc,neutral,mistress,fem,fem,,,
mayor,neutral,neutral,mayoress,fem,fem,mayor,neutral,neutral
milkman,masc,neutral,milkmaid,neutral,fem,,,
millionaire,neutral,neutral,millionairess,fem,fem,millionaire,neutral,neutral
murderer,neutral,neutral,murderess,fem,fem,,,
nephew,neutral,neutral,niece,neutral,neutral,cousin,neutral,neutral
patron,masc,neutral,patroness,fem,fem,patron,masc,neutral
peacock,masc,masc,peahen,fem,fem,,,
peer,neutral,neutral,peeress,fem,fem,peer,neutral,neutral
poet,neutral,neutral,poetess,neutral,fem,poet,neutral,neutral
policeman,masc,neutral,policewoman,fem,fem,police officer,neutral,neutral
porter,neutral,neutral,portess,,neutral,porter,neutral,neutral
postmaster,neutral,neutral,postmistress,fem,fem,postmaster,neutral,neutral
priest,neutral,neutral,priestess,fem,fem,,,
prince,masc,masc,princess,fem,fem,noble,neutral,neutral
prophet,neutral,neutral,prophetess,fem,fem,prophet,neutral,neutral
proprietor,neutral,neutral,proprietress,fem,fem,proprietor,neutral,neutral
prosecutor,neutral,neutral,prosecutrix,fem,,prosecutor,neutral,neutral
protector,neutral,neutral,protectress,fem,,,,
salesman,neutral,masc,saleswoman,fem,fem,sales person,neutral,
shepherd,neutral,neutral,shepherdess,fem,fem,,,
signor,masc,neutral,signora,neutral,neutral,,,
sir,masc,neutral,madam,fem,fem,,,
son,masc,masc,daughter,fem,fem,child,fem,neutral
son-in-law,neutral,neutral,daughter-in-law,neutral,neutral,child-in-law,,
songster,neutral,neutral,songstress,fem,fem,,,
stag,masc,masc,hind,fem,fem,,,
step-father,masc,,step-mother,fem,,step-parent,neutral,
stepfather,masc,neutral,stepmother,fem,neutral,stepparent,neutral,neutral
steward,neutral,neutral,stewardess,fem,fem,steward,neutral,neutral
sultan,neutral,neutral,sultana,fem,neutral,,,
swain,masc,masc,nymph,neutral,neutral,spirit,neutral,neutral
tempter,neutral,neutral,temptress,fem,fem,,,
tiger,neutral,neutral,tigress,fem,fem,,,
traitor,neutral,neutral,traitress,fem,fem,traitor,neutral,neutral
tutor,neutral,neutral,governess,fem,fem,tutor,neutral,neutral
uncle,neutral,neutral,aunt,neutral,neutral,relative,neutral,neutral
viscount,masc,neutral,viscountess,fem,neutral,,,
waiter,neutral,neutral,waitress,fem,fem,server,neutral,neutral
widower,masc,masc,widow,fem,fem,,,
wizard,masc,neutral,witch,fem,fem,mysterious person,,
