word,tag,wn_label,mw_label,dc_label,comb_label
rock,NN,neutral,neutral,masc,neutral
frontman,NN,masc,masc,masc,masc
name,NN,masc,neutral,neutral,neutral
parts,NNS,neutral,neutral,masc,neutral
member,NN,masc,neutral,neutral,neutral
women,NNS,fem,fem,fem,fem
chairman,NN,masc,masc,masc,masc
men,NNS,masc,masc,masc,masc
blade,NN,masc,neutral,neutral,neutral
daughter,NN,fem,fem,fem,fem
dragon,NN,fem,neutral,neutral,neutral
members,NNS,masc,neutral,neutral,neutral
dot,NN,neutral,neutral,fem,neutral
dots,NNS,neutral,neutral,fem,neutral
son,NN,masc,masc,masc,masc
batch,NN,neutral,neutral,masc,neutral
assault,NN,fem,neutral,neutral,neutral
carry,NN,neutral,neutral,masc,neutral
amber,NN,neutral,neutral,fem,neutral
rod,NN,neutral,neutral,masc,neutral
cm,NN,neutral,neutral,masc,neutral
principle,NN,neutral,neutral,masc,neutral
crew,NN,masc,neutral,masc,masc
girls,NNS,fem,fem,fem,fem
youth,NN,masc,neutral,neutral,neutral
resource,NN,neutral,neutral,masc,neutral
nurses,NNS,fem,fem,neutral,fem
nurse,NN,fem,fem,neutral,fem
lot,NN,neutral,neutral,fem,neutral
father,NN,masc,masc,masc,masc
mother,NN,fem,fem,fem,fem
godfather,NN,masc,neutral,masc,masc
master,NN,neutral,neutral,masc,neutral
will,NN,neutral,not_found,masc,neutral
clergyman,NN,masc,masc,masc,masc
headmaster,NN,neutral,masc,masc,masc
ed,NN,masc,not_found,masc,masc
patrons,NNS,neutral,neutral,masc,neutral
wife,NN,fem,fem,fem,fem
principles,NNS,neutral,neutral,masc,neutral
sister,NN,fem,fem,fem,fem
daughters,NNS,fem,fem,fem,fem
sons,NNS,masc,masc,masc,masc
heroes,NNS,masc,neutral,masc,masc
art,NN,neutral,neutral,masc,neutral
ball,NN,masc,neutral,neutral,neutral
honor,NN,fem,neutral,neutral,neutral
girl,NN,fem,fem,fem,fem
bass,NN,masc,neutral,masc,masc
nuns,NNS,fem,fem,fem,fem
prioress,NN,neutral,neutral,fem,neutral
king,NN,neutral,neutral,masc,neutral
honours,NNS,fem,neutral,neutral,neutral
fellow,NN,masc,neutral,masc,masc
princes,NNS,masc,masc,masc,masc
herbs,NNS,neutral,neutral,masc,neutral
gene,NN,neutral,neutral,masc,neutral
lilies,NNS,neutral,neutral,fem,neutral
bird,NN,fem,neutral,neutral,neutral
courts,NNS,fem,neutral,neutral,neutral
peaches,NNS,fem,neutral,neutral,neutral
males,NNS,masc,masc,masc,masc
females,NNS,fem,fem,fem,fem
woman,NN,fem,fem,fem,fem
faith,NN,neutral,neutral,fem,neutral
cane,NN,neutral,neutral,fem,neutral
gods,NNS,masc,neutral,masc,masc
sideman,NN,masc,masc,masc,masc
tenor,NN,masc,neutral,masc,masc
soul,NN,neutral,neutral,masc,neutral
sisters,NNS,fem,fem,fem,fem
hop,NN,neutral,neutral,masc,neutral
flanks,NNS,neutral,neutral,masc,neutral
bachelor,NN,masc,neutral,masc,masc
purity,NN,fem,neutral,neutral,neutral
grandson,NN,masc,masc,masc,masc
rahman,NN,masc,masc,masc,masc
husband,NN,masc,masc,masc,masc
names,NNS,masc,neutral,neutral,neutral
platform,NN,fem,neutral,neutral,neutral
violet,NN,neutral,neutral,fem,neutral
eggs,NNS,masc,neutral,fem,neutral
sperm,NN,masc,masc,neutral,masc
specimen,NN,masc,masc,masc,masc
male,NN,masc,masc,masc,masc
testes,NNS,masc,masc,neutral,masc
herding,NN,not_found,neutral,masc,neutral
ring,NN,neutral,neutral,masc,neutral
bowel,NN,neutral,neutral,masc,neutral
patience,NN,neutral,neutral,fem,neutral
actress,NN,fem,fem,fem,fem
soprano,NN,fem,fem,fem,fem
granddaughter,NN,fem,fem,fem,fem
platforms,NNS,fem,neutral,neutral,neutral
faiths,NNS,neutral,neutral,fem,neutral
brother,NN,masc,masc,masc,masc
fathers,NNS,masc,masc,masc,masc
emperor,NN,masc,masc,masc,masc
patriarch,NN,masc,neutral,masc,masc
abbot,NN,neutral,neutral,masc,neutral
abbots,NNS,neutral,neutral,masc,neutral
court,NN,fem,neutral,neutral,neutral
della,NN,not_found,not_found,fem,fem
wolf,NN,masc,neutral,neutral,neutral
moose,NN,masc,neutral,neutral,neutral
birds,NNS,fem,neutral,not_found,neutral
human,NN,masc,masc,masc,masc
snatch,NN,fem,neutral,neutral,neutral
mothers,NNS,fem,fem,fem,fem
herb,NN,neutral,neutral,masc,neutral
egg,NN,masc,neutral,fem,neutral
equestrian,NN,masc,neutral,neutral,neutral
crews,NNS,masc,neutral,masc,masc
dive,NN,fem,neutral,neutral,neutral
humans,NNS,neutral,neutral,masc,neutral
hops,NNS,neutral,neutral,fem,neutral
female,NN,fem,fem,fem,fem
widow,NN,neutral,neutral,fem,neutral
bills,NNS,neutral,neutral,masc,neutral
bill,NN,neutral,neutral,masc,neutral
man,NN,masc,masc,masc,masc
cows,NNS,fem,neutral,fem,fem
rams,NNS,masc,neutral,masc,masc
stress,NN,neutral,neutral,fem,neutral
di,NN,not_found,neutral,fem,neutral
grandmother,NN,fem,fem,fem,fem
letters,NNS,neutral,neutral,masc,neutral
businessman,NN,masc,masc,masc,masc
brothers,NNS,masc,masc,masc,masc
horsemanship,NN,neutral,masc,neutral,neutral
prince,NN,masc,masc,masc,masc
wives,NNS,neutral,fem,fem,fem
cousin,NN,neutral,not_found,masc,neutral
standing,NN,neutral,neutral,masc,neutral
hero,NN,masc,neutral,masc,masc
melody,NN,neutral,neutral,fem,neutral
minor,NN,neutral,neutral,masc,neutral
boys,NNS,masc,masc,masc,masc
press,NN,neutral,neutral,masc,neutral
kit,NN,neutral,neutral,masc,neutral
girlfriend,NN,fem,fem,fem,fem
charity,NN,neutral,neutral,fem,neutral
queen,NN,fem,fem,fem,fem
mosquitos,NN,fem,neutral,neutral,neutral
rocks,NNS,neutral,neutral,masc,neutral
nobleman,NN,masc,masc,masc,masc
schoolmaster,NN,neutral,masc,masc,masc
lorries,NNS,neutral,neutral,fem,neutral
uncle,NN,masc,masc,masc,masc
button,NN,fem,neutral,neutral,neutral
blood,NN,masc,neutral,neutral,neutral
hose,NN,masc,neutral,neutral,neutral
hoses,NNS,masc,neutral,neutral,neutral
dish,NN,fem,neutral,neutral,neutral
gal,NN,fem,neutral,fem,fem
norms,NNS,neutral,neutral,masc,neutral
parity,NN,fem,neutral,neutral,neutral
postman,NN,masc,masc,masc,masc
widows,NNS,neutral,neutral,fem,neutral
ladies,NNS,fem,neutral,neutral,neutral
husbands,NNS,masc,masc,masc,masc
