word,tag,wn_label,mw_label,dc_label,comb_label,true_label
abbot,NN,neutral,neutral,masc,neutral,masc
abbots,NNS,neutral,neutral,masc,neutral,masc
abduction,NN,neutral,neutral,neutral,neutral,neutral
abductions,NNS,neutral,neutral,neutral,neutral,neutral
actress,NN,fem,fem,fem,fem,fem
actresses,NNS,fem,fem,fem,fem,fem
admirer,NN,fem,neutral,neutral,neutral,neutral
alderman,NN,masc,masc,masc,masc,masc
amber,NN,neutral,neutral,fem,neutral,neutral
androgen,NN,masc,masc,masc,masc,neutral
androgens,NNS,masc,masc,masc,masc,neutral
antiestrogens,NNS,not_found,neutral,fem,neutral,neutral
antique,NN,masc,neutral,neutral,neutral,neutral
archaeology,NN,neutral,neutral,masc,neutral,neutral
aria,NN,neutral,neutral,fem,neutral,neutral
art,NN,neutral,neutral,masc,neutral,neutral
artilleryman,NN,masc,masc,masc,masc,masc
assault,NN,fem,not_found,neutral,neutral,neutral
assaults,NNS,fem,not_found,neutral,neutral,neutral
assemblyman,NN,masc,masc,masc,masc,masc
atlas,NN,masc,neutral,masc,masc,neutral
aunt,NN,fem,fem,fem,fem,fem
autospores,NNS,not_found,fem,not_found,fem,neutral
bachelor,NN,masc,masc,masc,masc,masc
baggage,NN,fem,fem,neutral,fem,neutral
ball,NN,neutral,neutral,neutral,neutral,neutral
barbettes,NNS,neutral,neutral,fem,neutral,neutral
baritone,NN,masc,masc,masc,masc,neutral
barmaid,NN,fem,fem,fem,fem,fem
baseman,NN,masc,masc,masc,masc,masc
bass,NN,masc,neutral,neutral,neutral,neutral
batch,NN,neutral,neutral,masc,neutral,neutral
batsman,NN,masc,masc,masc,masc,masc
beast,NN,neutral,neutral,masc,neutral,neutral
beasts,NNS,neutral,neutral,masc,neutral,neutral
beau,NN,masc,neutral,neutral,neutral,masc
beauty,NN,fem,neutral,neutral,neutral,neutral
beaver,NN,masc,neutral,neutral,neutral,neutral
beys,NNS,masc,not_found,neutral,neutral,neutral
bhikshuni,NN,not_found,fem,fem,fem,fem
bikini,NN,fem,neutral,fem,fem,neutral
bill,NN,neutral,neutral,neutral,neutral,neutral
bills,NNS,neutral,neutral,neutral,neutral,neutral
bird,NN,fem,neutral,neutral,neutral,neutral
birds,NNS,fem,neutral,not_found,neutral,neutral
bitumen,NN,masc,masc,masc,masc,neutral
blade,NN,masc,neutral,neutral,neutral,neutral
blades,NNS,masc,neutral,neutral,neutral,neutral
blockman,NN,masc,masc,masc,masc,masc
blonde,NN,neutral,neutral,fem,neutral,neutral
blondes,NNS,neutral,neutral,fem,neutral,neutral
blood,NN,masc,neutral,neutral,neutral,neutral
boar,NN,masc,masc,masc,masc,neutral
boars,NNS,masc,masc,masc,masc,neutral
bodices,NNS,neutral,neutral,fem,neutral,neutral
bombshells,NNS,neutral,neutral,neutral,neutral,neutral
booth,NN,neutral,neutral,masc,neutral,neutral
booths,NNS,neutral,neutral,masc,neutral,neutral
bowel,NN,neutral,neutral,masc,neutral,neutral
boy,NN,masc,masc,masc,masc,masc
boyfriend,NN,neutral,masc,masc,masc,masc
boyfriends,NNS,neutral,masc,masc,masc,masc
boyhood,NN,neutral,masc,neutral,neutral,neutral
boys,NNS,masc,masc,masc,masc,masc
bra,NN,neutral,fem,neutral,neutral,neutral
bride,NN,fem,fem,fem,fem,fem
brides,NNS,fem,fem,fem,fem,fem
bridesmaid,NN,fem,fem,fem,fem,fem
broodmare,NN,fem,neutral,neutral,neutral,fem
brother,NN,masc,masc,masc,masc,masc
brothers,NNS,masc,masc,masc,masc,masc
brunettes,NNS,neutral,neutral,fem,neutral,fem
buddy,NN,neutral,neutral,masc,neutral,neutral
bull,NN,masc,neutral,masc,masc,masc
businessman,NN,masc,masc,masc,masc,masc
businessmen,NNS,masc,masc,masc,masc,masc
busting,NN,not_found,neutral,fem,neutral,neutral
busts,NNS,fem,neutral,fem,fem,neutral
button,NN,neutral,neutral,neutral,neutral,neutral
buttons,NNS,neutral,neutral,neutral,neutral,neutral
cad,NN,neutral,neutral,masc,neutral,neutral
cameraman,NN,masc,masc,masc,masc,masc
cameramen,NNS,masc,masc,masc,masc,masc
candy,NN,neutral,neutral,fem,neutral,neutral
cane,NN,neutral,neutral,fem,neutral,neutral
canes,NNS,neutral,neutral,fem,neutral,neutral
carry,NN,neutral,neutral,masc,neutral,neutral
carrying,NN,not_found,neutral,masc,neutral,neutral
cavalrymen,NNS,masc,masc,masc,masc,masc
centaur,NN,masc,masc,masc,masc,neutral
chairman,NN,masc,masc,masc,masc,masc
chambermaid,NN,neutral,neutral,fem,neutral,fem
charity,NN,neutral,neutral,fem,neutral,neutral
chevalier,NN,neutral,neutral,neutral,neutral,masc
chick,NN,fem,fem,neutral,fem,neutral
chimera,NN,fem,neutral,neutral,neutral,neutral
churchmen,NNS,masc,masc,masc,masc,masc
cleavage,NN,fem,neutral,fem,fem,neutral
clergyman,NN,masc,masc,masc,masc,masc
cliff,NN,neutral,neutral,masc,neutral,neutral
cliffs,NNS,neutral,neutral,masc,neutral,neutral
clutch,NN,neutral,neutral,neutral,neutral,neutral
cm,NN,neutral,neutral,masc,neutral,neutral
cock,NN,masc,neutral,masc,masc,neutral
coil,NN,fem,neutral,neutral,neutral,neutral
colt,NN,masc,masc,masc,masc,neutral
colts,NNS,masc,masc,masc,masc,masc
conman,NN,masc,masc,masc,masc,masc
cornerman,NN,masc,masc,masc,masc,masc
councilwoman,NN,fem,fem,fem,fem,fem
countryman,NN,masc,masc,masc,masc,masc
court,NN,neutral,neutral,neutral,neutral,neutral
courtesan,NN,neutral,neutral,masc,neutral,fem
courtesans,NNS,neutral,neutral,masc,neutral,fem
courts,NNS,neutral,neutral,neutral,neutral,neutral
cousin,NN,neutral,neutral,neutral,neutral,neutral
cowboy,NN,masc,masc,masc,masc,masc
cowboys,NNS,masc,masc,masc,masc,masc
cows,NNS,fem,fem,fem,fem,fem
craftsmen,NNS,masc,masc,masc,masc,masc
creole,NN,fem,neutral,neutral,neutral,neutral
crew,NN,masc,neutral,masc,masc,neutral
crewmen,NNS,masc,masc,masc,masc,masc
crews,NNS,masc,neutral,masc,masc,neutral
cricket,NN,masc,neutral,neutral,neutral,neutral
crickets,NNS,masc,neutral,neutral,neutral,neutral
cuckoo,NN,masc,neutral,neutral,neutral,neutral
dad,NN,masc,masc,masc,masc,masc
daddy,NN,masc,masc,masc,masc,masc
dam,NN,fem,neutral,fem,fem,neutral
dames,NNS,fem,fem,fem,fem,fem
damming,NN,not_found,neutral,fem,neutral,neutral
daughter,NN,fem,fem,fem,fem,fem
daughters,NNS,fem,fem,fem,fem,fem
dawn,NN,neutral,neutral,fem,neutral,neutral
dean,NN,masc,neutral,neutral,neutral,neutral
deer,NN,masc,masc,neutral,masc,neutral
della,NN,not_found,not_found,fem,fem,neutral
devil,NN,masc,neutral,neutral,neutral,neutral
devils,NNS,masc,neutral,neutral,neutral,neutral
di,NN,not_found,neutral,fem,neutral,neutral
dish,NN,fem,neutral,neutral,neutral,neutral
dishes,NNS,fem,neutral,neutral,neutral,neutral
diva,NN,fem,fem,fem,fem,fem
divas,NNS,fem,fem,fem,fem,fem
dive,NN,fem,neutral,neutral,neutral,neutral
divorce,NN,neutral,neutral,masc,neutral,neutral
dollies,NNS,neutral,neutral,fem,neutral,fem
dolls,NNS,fem,neutral,fem,fem,fem
dot,NN,neutral,neutral,fem,neutral,neutral
dots,NNS,neutral,neutral,fem,neutral,neutral
dragon,NN,fem,neutral,neutral,neutral,neutral
dragons,NNS,fem,neutral,neutral,neutral,neutral
draughtsman,NN,masc,masc,masc,masc,masc
dress,NN,fem,neutral,neutral,neutral,neutral
dresses,NNS,fem,neutral,neutral,neutral,neutral
drone,NN,masc,neutral,masc,masc,neutral
dudes,NNS,masc,neutral,masc,masc,masc
dwarf,NN,masc,neutral,neutral,neutral,neutral
dwarfs,NNS,masc,neutral,neutral,neutral,neutral
ed,NN,masc,not_found,masc,masc,neutral
egg,NN,masc,neutral,fem,neutral,neutral
eggs,NNS,masc,neutral,fem,neutral,neutral
emperor,NN,masc,masc,masc,masc,masc
emperors,NNS,masc,masc,masc,masc,masc
empress,NN,fem,fem,fem,fem,fem
equestrian,NN,masc,neutral,neutral,neutral,neutral
estradiol,NN,fem,neutral,neutral,neutral,neutral
estrogen,NN,fem,neutral,fem,fem,neutral
estrogens,NNS,fem,neutral,fem,fem,neutral
eunuchs,NNS,masc,masc,masc,masc,masc
eve,NN,fem,fem,fem,fem,neutral
fairy,NN,masc,neutral,neutral,neutral,neutral
