word,tag,wn_label,mw_label,dc_label,comb_label,true_label
abbot,NN,neutral,neutral,masc,neutral,masc
abbots,NNS,neutral,neutral,masc,neutral,masc
abduction,NN,neutral,fem,neutral,neutral,neutral
abductions,NNS,neutral,fem,neutral,neutral,neutral
actress,NN,fem,fem,fem,fem,fem
actresses,NNS,fem,fem,fem,fem,fem
admirer,NN,fem,neutral,neutral,neutral,neutral
alderman,NN,masc,masc,masc,masc,masc
amber,NN,neutral,neutral,fem,neutral,neutral
androgen,NN,masc,masc,masc,masc,neutral
androgens,NNS,masc,masc,masc,masc,neutral
antiestrogens,NNS,not_found,neutral,fem,neutral,neutral
antique,NN,masc,neutral,neutral,neutral,neutral
archaeology,NN,neutral,neutral,masc,neutral,neutral
aria,NN,neutral,neutral,fem,neutral,neutral
art,NN,neutral,neutral,masc,neutral,neutral
artilleryman,NN,masc,masc,masc,masc,masc
assault,NN,fem,neutral,neutral,neutral,neutral
assaults,NNS,fem,neutral,neutral,neutral,neutral
assemblyman,NN,masc,masc,masc,masc,masc
atlas,NN,masc,neutral,masc,masc,neutral
aunt,NN,fem,fem,fem,fem,fem
autospores,NNS,not_found,fem,not_found,fem,neutral
bachelor,NN,masc,neutral,masc,masc,masc
baggage,NN,fem,fem,neutral,fem,neutral
ball,NN,masc,neutral,neutral,neutral,neutral
barbettes,NNS,neutral,neutral,fem,neutral,neutral
baritone,NN,masc,neutral,masc,masc,neutral
barmaid,NN,fem,fem,fem,fem,fem
baseman,NN,masc,masc,masc,masc,masc
bass,NN,masc,neutral,masc,masc,neutral
batch,NN,neutral,neutral,masc,neutral,neutral
batsman,NN,masc,masc,masc,masc,masc
beast,NN,neutral,neutral,masc,neutral,neutral
beasts,NNS,neutral,neutral,masc,neutral,neutral
beau,NN,masc,neutral,masc,masc,masc
beauty,NN,fem,fem,neutral,fem,neutral
beaver,NN,masc,neutral,neutral,neutral,neutral
beys,NNS,masc,not_found,neutral,neutral,neutral
bhikshuni,NN,not_found,fem,fem,fem,neutral
bikini,NN,fem,neutral,fem,fem,neutral
bill,NN,neutral,neutral,masc,neutral,neutral
bills,NNS,neutral,neutral,masc,neutral,neutral
bird,NN,fem,neutral,neutral,neutral,neutral
birds,NNS,fem,neutral,not_found,neutral,neutral
bitumen,NN,masc,masc,masc,masc,neutral
blade,NN,masc,neutral,neutral,neutral,neutral
blades,NNS,masc,neutral,neutral,neutral,neutral
blockman,NN,masc,masc,masc,masc,masc
blonde,NN,neutral,neutral,fem,neutral,fem
blondes,NNS,neutral,neutral,fem,neutral,fem
blood,NN,masc,neutral,neutral,neutral,neutral
boar,NN,masc,neutral,masc,masc,neutral
boars,NNS,masc,neutral,masc,masc,neutral
bodices,NNS,neutral,neutral,fem,neutral,neutral
bombshells,NNS,neutral,fem,neutral,neutral,neutral
booth,NN,neutral,neutral,masc,neutral,neutral
booths,NNS,neutral,neutral,masc,neutral,neutral
bowel,NN,neutral,neutral,masc,neutral,neutral
boy,NN,masc,masc,masc,masc,masc
boyfriend,NN,masc,masc,masc,masc,masc
boyfriends,NNS,masc,masc,masc,masc,masc
boyhood,NN,neutral,masc,neutral,neutral,neutral
boys,NNS,masc,masc,masc,masc,masc
bra,NN,neutral,fem,neutral,neutral,neutral
bride,NN,fem,fem,fem,fem,fem
brides,NNS,fem,fem,fem,fem,fem
bridesmaid,NN,fem,fem,fem,fem,fem
broodmare,NN,fem,neutral,neutral,neutral,fem
brother,NN,masc,masc,masc,masc,masc
brothers,NNS,masc,masc,masc,masc,masc
brunettes,NNS,neutral,neutral,fem,neutral,fem
buddy,NN,neutral,neutral,masc,neutral,neutral
bull,NN,masc,neutral,masc,masc,masc
businessman,NN,masc,masc,masc,masc,masc
businessmen,NNS,masc,masc,masc,masc,masc
busting,NN,not_found,neutral,fem,neutral,neutral
busts,NNS,fem,neutral,fem,fem,neutral
button,NN,fem,neutral,neutral,neutral,neutral
buttons,NNS,fem,neutral,neutral,neutral,neutral
cad,NN,neutral,masc,masc,masc,neutral
cameraman,NN,masc,masc,masc,masc,masc
cameramen,NNS,masc,masc,masc,masc,masc
candy,NN,neutral,neutral,fem,neutral,neutral
cane,NN,neutral,neutral,fem,neutral,neutral
canes,NNS,neutral,neutral,fem,neutral,neutral
carry,NN,neutral,neutral,masc,neutral,neutral
carrying,NN,not_found,neutral,masc,neutral,neutral
cavalrymen,NNS,masc,masc,masc,masc,masc
centaur,NN,masc,masc,neutral,masc,neutral
chairman,NN,masc,masc,masc,masc,masc
chambermaid,NN,neutral,neutral,fem,neutral,fem
charity,NN,neutral,neutral,fem,neutral,neutral
chevalier,NN,neutral,masc,neutral,neutral,masc
chick,NN,fem,neutral,neutral,neutral,neutral
chimera,NN,fem,neutral,neutral,neutral,neutral
churchmen,NNS,masc,masc,masc,masc,masc
cleavage,NN,neutral,neutral,fem,neutral,neutral
clergyman,NN,masc,masc,masc,masc,masc
cliff,NN,neutral,neutral,masc,neutral,neutral
cliffs,NNS,neutral,neutral,masc,neutral,neutral
clutch,NN,fem,neutral,neutral,neutral,neutral
cm,NN,neutral,neutral,masc,neutral,neutral
cock,NN,masc,neutral,masc,masc,neutral
coil,NN,fem,neutral,neutral,neutral,neutral
colt,NN,masc,neutral,masc,masc,neutral
colts,NNS,masc,neutral,masc,masc,neutral
conman,NN,masc,masc,masc,masc,masc
cornerman,NN,masc,masc,masc,masc,masc
councilwoman,NN,fem,fem,fem,fem,fem
countryman,NN,masc,masc,masc,masc,masc
court,NN,fem,neutral,neutral,neutral,neutral
courtesan,NN,neutral,fem,neutral,neutral,fem
courtesans,NNS,neutral,fem,neutral,neutral,fem
courts,NNS,fem,neutral,neutral,neutral,neutral
cousin,NN,neutral,not_found,masc,neutral,neutral
cowboy,NN,masc,masc,masc,masc,masc
cowboys,NNS,masc,masc,masc,masc,masc
cows,NNS,fem,neutral,fem,fem,neutral
craftsmen,NNS,masc,masc,masc,masc,masc
creole,NN,fem,neutral,neutral,neutral,neutral
crew,NN,masc,neutral,masc,masc,neutral
crewmen,NNS,masc,masc,masc,masc,masc
crews,NNS,masc,neutral,masc,masc,neutral
cricket,NN,masc,neutral,neutral,neutral,neutral
crickets,NNS,masc,neutral,neutral,neutral,neutral
cuckoo,NN,masc,neutral,neutral,neutral,neutral
dad,NN,masc,masc,masc,masc,masc
daddy,NN,masc,masc,masc,masc,masc
dam,NN,fem,neutral,fem,fem,neutral
dames,NNS,fem,fem,fem,fem,fem
damming,NN,not_found,neutral,fem,neutral,neutral
daughter,NN,fem,fem,fem,fem,fem
daughters,NNS,fem,fem,fem,fem,fem
dawn,NN,neutral,neutral,fem,neutral,neutral
dean,NN,masc,neutral,neutral,neutral,neutral
deer,NN,masc,masc,neutral,masc,neutral
della,NN,not_found,not_found,fem,fem,neutral
devil,NN,masc,neutral,neutral,neutral,neutral
devils,NNS,masc,neutral,neutral,neutral,neutral
di,NN,not_found,neutral,fem,neutral,neutral
dish,NN,fem,neutral,neutral,neutral,neutral
dishes,NNS,fem,neutral,neutral,neutral,neutral
diva,NN,fem,fem,fem,fem,neutral
divas,NNS,fem,fem,fem,fem,neutral
dive,NN,fem,neutral,neutral,neutral,neutral
divorce,NN,neutral,not_found,masc,neutral,neutral
dollies,NNS,neutral,neutral,fem,neutral,neutral
dolls,NNS,fem,neutral,fem,fem,neutral
dot,NN,neutral,neutral,fem,neutral,neutral
dots,NNS,neutral,neutral,fem,neutral,neutral
dragon,NN,fem,neutral,neutral,neutral,neutral
dragons,NNS,fem,neutral,neutral,neutral,neutral
draughtsman,NN,masc,masc,masc,masc,masc
dress,NN,fem,neutral,neutral,neutral,neutral
dresses,NNS,fem,neutral,neutral,neutral,neutral
drone,NN,masc,neutral,masc,masc,neutral
dudes,NNS,masc,masc,masc,masc,masc
dwarf,NN,masc,neutral,neutral,neutral,neutral
dwarfs,NNS,masc,neutral,neutral,neutral,neutral
ed,NN,masc,not_found,masc,masc,neutral
egg,NN,masc,neutral,fem,neutral,neutral
eggs,NNS,masc,neutral,fem,neutral,neutral
emperor,NN,masc,masc,masc,masc,masc
emperors,NNS,masc,masc,masc,masc,masc
empress,NN,fem,fem,fem,fem,fem
equestrian,NN,masc,neutral,neutral,neutral,neutral
estradiol,NN,fem,neutral,neutral,neutral,neutral
estrogen,NN,fem,neutral,fem,fem,neutral
estrogens,NNS,fem,neutral,fem,fem,neutral
eunuchs,NNS,masc,masc,masc,masc,masc
eve,NN,fem,neutral,fem,fem,fem
fairy,NN,masc,neutral,neutral,neutral,neutral
