word,tag,wn_label,mw_label,dc_label,comb_label
song,NN,neutral,neutral,neutral,neutral
rock,NN,neutral,neutral,masc,neutral
band,NN,neutral,neutral,neutral,neutral
lead,NN,neutral,neutral,neutral,neutral
studio,NN,neutral,neutral,neutral,neutral
album,NN,neutral,neutral,neutral,neutral
number,NN,neutral,not_found,neutral,neutral
hit,NN,neutral,neutral,neutral,neutral
chart,NN,neutral,neutral,neutral,neutral
frontman,NN,masc,masc,masc,masc
interviews,NNS,neutral,neutral,neutral,neutral
track,NN,neutral,neutral,neutral,neutral
choice,NN,neutral,neutral,neutral,neutral
single,NN,neutral,neutral,neutral,neutral
effort,NN,neutral,neutral,neutral,neutral
record,NN,neutral,neutral,neutral,neutral
company,NN,neutral,neutral,neutral,neutral
ground,NN,neutral,neutral,neutral,neutral
video,NN,neutral,neutral,neutral,neutral
take,NN,neutral,neutral,neutral,neutral
director,NN,neutral,neutral,neutral,neutral
page,NN,neutral,neutral,neutral,neutral
actors,NNS,neutral,neutral,neutral,neutral
camera,NN,neutral,neutral,neutral,neutral
locks,NNS,neutral,neutral,neutral,neutral
movements,NNS,neutral,neutral,neutral,neutral
correlation,NN,neutral,neutral,neutral,neutral
expressions,NNS,neutral,neutral,neutral,neutral
regards,NNS,neutral,neutral,neutral,neutral
lyrics,NNS,neutral,neutral,neutral,neutral
sea,NN,neutral,neutral,neutral,neutral
people,NNS,neutral,neutral,neutral,neutral
element,NN,neutral,neutral,neutral,neutral
scenes,NNS,neutral,neutral,neutral,neutral
tasmaniensis,NN,not_found,not_found,not_found,not_found
torrent,NN,neutral,neutral,neutral,neutral
midge,NN,neutral,neutral,neutral,neutral
species,NN,neutral,neutral,neutral,neutral
fly,NN,neutral,neutral,neutral,neutral
family,NN,neutral,neutral,neutral,neutral
name,NN,masc,neutral,neutral,neutral
homes,NNS,neutral,neutral,neutral,neutral
parts,NNS,neutral,neutral,masc,neutral
rivers,NNS,neutral,neutral,neutral,neutral
streams,NNS,neutral,neutral,neutral,neutral
railway,NN,neutral,neutral,neutral,neutral
yard,NN,neutral,neutral,neutral,neutral
suburb,NN,neutral,neutral,neutral,neutral
freight,NN,neutral,neutral,neutral,neutral
region,NN,neutral,neutral,neutral,neutral
rail,NN,neutral,neutral,neutral,neutral
traffic,NN,neutral,neutral,neutral,neutral
line,NN,neutral,neutral,neutral,neutral
part,NN,neutral,neutral,neutral,neutral
coal,NN,neutral,neutral,neutral,neutral
wagons,NNS,neutral,neutral,neutral,neutral
network,NN,neutral,neutral,neutral,neutral
sidings,NNS,neutral,neutral,neutral,neutral
capacity,NN,neutral,neutral,neutral,neutral
north,NN,neutral,neutral,neutral,neutral
west,NN,neutral,neutral,neutral,neutral
complex,NN,neutral,neutral,neutral,neutral
end,NN,neutral,neutral,neutral,neutral
motorway,NN,neutral,neutral,neutral,neutral
junction,NN,neutral,neutral,neutral,neutral
closure,NN,neutral,neutral,neutral,neutral
hump,NN,neutral,neutral,neutral,neutral
shunting,NN,not_found,neutral,neutral,neutral
credit,NN,neutral,neutral,neutral,neutral
crunch,NN,neutral,neutral,neutral,neutral
allocation,NN,neutral,neutral,neutral,neutral
locomotives,NNS,neutral,neutral,neutral,neutral
trains,NNS,neutral,neutral,neutral,neutral
half,NN,neutral,neutral,neutral,neutral
services,NNS,neutral,neutral,neutral,neutral
workings,NNS,neutral,neutral,neutral,neutral
mainstay,NN,neutral,neutral,neutral,neutral
operations,NNS,neutral,neutral,neutral,neutral
area,NN,neutral,neutral,neutral,neutral
flask,NN,neutral,neutral,neutral,neutral
week,NN,neutral,neutral,neutral,neutral
goods,NNS,neutral,neutral,neutral,neutral
way,NN,neutral,neutral,neutral,neutral
power,NN,neutral,neutral,neutral,neutral
station,NN,neutral,neutral,neutral,neutral
operation,NN,neutral,neutral,neutral,neutral
list,NN,neutral,neutral,neutral,neutral
yards,NNS,neutral,neutral,neutral,neutral
transport,NN,neutral,neutral,neutral,neutral
history,NN,neutral,neutral,neutral,neutral
marshalling,NN,not_found,neutral,neutral,neutral
politician,NN,neutral,neutral,neutral,neutral
member,NN,masc,neutral,neutral,neutral
barrister,NN,neutral,neutral,neutral,neutral
profession,NN,neutral,neutral,neutral,neutral
rights,NNS,neutral,neutral,neutral,neutral
activist,NN,neutral,neutral,neutral,neutral
candidate,NN,neutral,neutral,neutral,neutral
seat,NN,neutral,neutral,neutral,neutral
women,NNS,fem,fem,fem,fem
election,NN,neutral,neutral,neutral,neutral
spokesperson,NN,neutral,neutral,neutral,neutral
chairman,NN,masc,masc,masc,masc
reasons,NNS,neutral,neutral,neutral,neutral
swimmer,NN,neutral,neutral,neutral,neutral
events,NNS,neutral,neutral,neutral,neutral
men,NNS,masc,masc,masc,masc
breaststroke,NN,neutral,neutral,neutral,neutral
standard,NN,neutral,neutral,neutral,neutral
swimmers,NNS,neutral,neutral,neutral,neutral
heat,NN,neutral,neutral,neutral,neutral
time,NN,neutral,neutral,neutral,neutral
seed,NN,neutral,neutral,neutral,neutral
winner,NN,neutral,neutral,neutral,neutral
second,NN,neutral,neutral,neutral,neutral
semifinals,NNS,neutral,neutral,neutral,neutral
overall,NN,neutral,neutral,neutral,neutral
prelims,NNS,neutral,neutral,neutral,neutral
sport,NN,neutral,neutral,neutral,neutral
aircraft,NN,neutral,neutral,neutral,neutral
engine,NN,neutral,neutral,neutral,neutral
manufacturer,NN,neutral,neutral,neutral,neutral
professor,NN,neutral,neutral,neutral,neutral
cylinder,NN,neutral,neutral,neutral,neutral
design,NN,neutral,neutral,neutral,neutral
airport,NN,neutral,neutral,neutral,neutral
production,NN,neutral,neutral,neutral,neutral
planes,NNS,neutral,neutral,neutral,neutral
total,NN,neutral,neutral,neutral,neutral
bankruptcy,NN,neutral,neutral,neutral,neutral
factory,NN,neutral,neutral,neutral,neutral
assets,NNS,neutral,neutral,neutral,neutral
place,NN,neutral,neutral,neutral,neutral
wing,NN,neutral,neutral,neutral,neutral
cockpit,NN,neutral,neutral,neutral,neutral
monoplane,NN,neutral,neutral,neutral,neutral
landing,NN,neutral,neutral,neutral,neutral
gear,NN,neutral,neutral,neutral,neutral
fuselage,NN,neutral,neutral,neutral,neutral
steel,NN,neutral,neutral,neutral,neutral
tubing,NN,neutral,neutral,neutral,neutral
fabric,NN,neutral,neutral,neutral,neutral
covering,NN,neutral,neutral,neutral,neutral
film,NN,neutral,neutral,neutral,neutral
data,NNS,neutral,neutral,neutral,neutral
characteristics,NNS,neutral,neutral,neutral,neutral
length,NN,neutral,neutral,neutral,neutral
ft,NN,neutral,neutral,neutral,neutral
weight,NN,neutral,neutral,neutral,neutral
kg,NN,neutral,neutral,neutral,neutral
powerplant,NN,not_found,neutral,neutral,neutral
hp,NN,neutral,neutral,neutral,neutral
propellers,NNS,neutral,neutral,neutral,neutral
speed,NN,neutral,neutral,neutral,neutral
kn,NN,not_found,neutral,neutral,neutral
mph,NN,neutral,neutral,neutral,neutral
km,NN,neutral,neutral,neutral,neutral
role,NN,neutral,neutral,neutral,neutral
configuration,NN,neutral,neutral,neutral,neutral
era,NN,neutral,neutral,neutral,neutral
football,NN,neutral,neutral,neutral,neutral
club,NN,neutral,neutral,neutral,neutral
series,NN,neutral,neutral,neutral,neutral
person,NN,neutral,neutral,neutral,neutral
shooter,NN,neutral,neutral,neutral,neutral
games,NNS,neutral,neutral,neutral,neutral
exploits,NNS,neutral,neutral,neutral,neutral
ninja,NN,neutral,neutral,neutral,neutral
