word,tag,wn_label,mw_label,comb_label
actor,NN,neutral,neutral,neutral
stage,NN,neutral,neutral,neutral
television,NN,neutral,neutral,neutral
film,NN,neutral,neutral,neutral
role,NN,neutral,neutral,neutral
lawyer,NN,neutral,neutral,neutral
series,NN,neutral,neutral,neutral
mother,NN,fem,fem,fem
father,NN,masc,masc,masc
officer,NN,neutral,neutral,neutral
aunt,NN,fem,fem,fem
boarding,NN,neutral,neutral,neutral
school,NN,neutral,neutral,neutral
archery,NN,neutral,neutral,neutral
champion,NN,neutral,neutral,neutral
drama,NN,neutral,neutral,neutral
skills,NNS,neutral,neutral,neutral
rust,NN,neutral,neutral,neutral
production,NN,neutral,neutral,neutral
replacement,NN,neutral,neutral,neutral
credit,NN,neutral,neutral,neutral
contract,NN,neutral,neutral,neutral
aspirants,NNS,neutral,neutral,neutral
crime,NN,neutral,neutral,neutral
narcotics,NNS,neutral,neutral,neutral
gangs,NNS,neutral,neutral,neutral
schools,NNS,neutral,neutral,neutral
films,NNS,neutral,neutral,neutral
thriller,NN,neutral,neutral,neutral
study,NN,neutral,neutral,neutral
revenge,NN,neutral,neutral,neutral
biker,NN,not_found,neutral,neutral
cult,NN,neutral,neutral,neutral
bystander,NN,neutral,neutral,neutral
rampage,NN,neutral,neutral,neutral
bank,NN,neutral,neutral,neutral
robber,NN,neutral,neutral,neutral
episode,NN,neutral,neutral,neutral
children,NNS,neutral,neutral,neutral
programs,NNS,neutral,neutral,neutral
guest,NN,neutral,neutral,neutral
attorney,NN,neutral,neutral,neutral
actors,NNS,neutral,neutral,neutral
acting,NN,neutral,neutral,neutral
experience,NN,neutral,neutral,neutral
background,NN,neutral,neutral,neutral
episodes,NNS,neutral,neutral,neutral
variety,NN,neutral,neutral,neutral
time,NN,neutral,neutral,neutral
slot,NN,neutral,neutral,neutral
nights,NNS,neutral,neutral,neutral
year,NN,neutral,neutral,neutral
soap,NN,neutral,neutral,neutral
opera,NN,neutral,neutral,neutral
wife,NN,fem,fem,fem
couple,NN,neutral,neutral,neutral
age,NN,neutral,neutral,neutral
heart,NN,neutral,neutral,neutral
attack,NN,neutral,neutral,neutral
discography,NN,neutral,neutral,neutral
internet,NN,neutral,neutral,neutral
election,NN,neutral,neutral,neutral
mayor,NN,neutral,neutral,neutral
races,NNS,neutral,neutral,neutral
province,NN,neutral,neutral,neutral
elections,NNS,neutral,neutral,neutral
race,NN,neutral,neutral,neutral
candidates,NNS,neutral,neutral,neutral
councillor,NN,neutral,neutral,neutral
businessman,NN,masc,masc,masc
fight,NN,neutral,neutral,neutral
edge,NN,neutral,neutral,neutral
candidate,NN,neutral,neutral,neutral
third,NN,neutral,neutral,neutral
summer,NN,neutral,neutral,neutral
campaign,NN,neutral,neutral,neutral
support,NN,neutral,neutral,neutral
way,NN,neutral,neutral,neutral
right,NN,neutral,neutral,neutral
left,NN,neutral,neutral,neutral
weekend,NN,neutral,neutral,neutral
lead,NN,neutral,neutral,neutral
day,NN,neutral,neutral,neutral
end,NN,neutral,neutral,neutral
core,NN,neutral,neutral,neutral
areas,NNS,neutral,neutral,neutral
part,NN,neutral,neutral,neutral
city,NN,neutral,neutral,neutral
home,NN,neutral,neutral,neutral
rest,NN,neutral,neutral,neutral
wards,NNS,neutral,neutral,neutral
area,NN,neutral,neutral,neutral
train,NN,neutral,neutral,neutral
proposal,NN,neutral,neutral,neutral
voter,NN,neutral,neutral,neutral
turn,NN,neutral,neutral,neutral
ratios,NNS,neutral,neutral,neutral
history,NN,neutral,neutral,neutral
residence,NN,neutral,neutral,neutral
media,NNS,neutral,neutral,neutral
chair,NN,neutral,neutral,neutral
phone,NN,neutral,neutral,neutral
number,NN,neutral,neutral,neutral
apartment,NN,neutral,neutral,neutral
co,NN,neutral,neutral,neutral
marriage,NN,neutral,neutral,neutral
chairman,NN,masc,masc,masc
ceo,NN,neutral,neutral,neutral
company,NN,neutral,neutral,neutral
technology,NN,neutral,neutral,neutral
services,NNS,neutral,neutral,neutral
industry,NN,neutral,neutral,neutral
government,NN,neutral,neutral,neutral
possibility,NN,neutral,neutral,neutral
income,NN,neutral,neutral,neutral
tax,NN,neutral,neutral,neutral
money,NN,neutral,neutral,neutral
poverty,NN,neutral,neutral,neutral
activist,NN,neutral,neutral,neutral
arrest,NN,neutral,neutral,neutral
charges,NNS,neutral,neutral,neutral
issue,NN,neutral,neutral,neutral
ombudsman,NN,masc,masc,masc
conservative,NN,neutral,neutral,neutral
nomination,NN,neutral,neutral,neutral
re,NN,neutral,neutral,neutral
funeral,NN,neutral,neutral,neutral
homes,NNS,neutral,neutral,neutral
statistic,NN,neutral,neutral,neutral
name,NN,masc,neutral,neutral
polling,NN,not_found,neutral,neutral
question,NN,neutral,neutral,neutral
poll,NN,neutral,neutral,neutral
release,NN,neutral,neutral,neutral
date,NN,neutral,neutral,neutral
percentage,NN,neutral,neutral,neutral
voters,NNS,neutral,neutral,neutral
votes,NNS,neutral,neutral,neutral
source,NN,neutral,neutral,neutral
police,NN,neutral,neutral,neutral
chief,NN,neutral,neutral,neutral
leader,NN,neutral,neutral,neutral
wikipedian,NN,not_found,not_found,not_found
football,NN,neutral,neutral,neutral
player,NN,neutral,neutral,neutral
strategist,NN,neutral,neutral,neutral
wing,NN,neutral,neutral,neutral
vote,NN,neutral,neutral,neutral
seat,NN,neutral,neutral,neutral
justice,NN,neutral,neutral,neutral
peace,NN,neutral,neutral,neutral
rules,NNS,neutral,neutral,neutral
favour,NN,neutral,neutral,neutral
residents,NNS,neutral,neutral,neutral
nominations,NNS,neutral,neutral,neutral
file,NN,neutral,neutral,neutral
papers,NNS,neutral,neutral,neutral
by,NN,not_found,neutral,neutral
intention,NN,neutral,neutral,neutral
tech,NN,neutral,neutral,neutral
mayoralty,NN,neutral,neutral,neutral
weeks,NNS,neutral,neutral,neutral
debate,NN,neutral,neutral,neutral
council,NN,neutral,neutral,neutral
signs,NNS,neutral,neutral,neutral
president,NN,neutral,neutral,neutral
project,NN,neutral,neutral,neutral
polls,NNS,neutral,neutral,neutral
headquarters,NN,neutral,neutral,neutral
transportation,NN,neutral,neutral,neutral
expansion,NN,neutral,neutral,neutral
controversies,NNS,neutral,neutral,neutral
property,NN,neutral,neutral,neutral
taxes,NNS,neutral,neutral,neutral
issues,NNS,neutral,neutral,neutral
boundary,NN,neutral,neutral,neutral
ward,NN,neutral,neutral,neutral
boundaries,NNS,neutral,neutral,neutral
plan,NN,neutral,neutral,neutral
size,NN,neutral,neutral,neutral
members,NNS,masc,neutral,neutral
commission,NN,neutral,neutral,neutral
parts,NNS,neutral,neutral,neutral
neighbourhoods,NNS,neutral,not_found,neutral
suburbs,NNS,neutral,neutral,neutral
losses,NNS,neutral,neutral,neutral
airport,NN,neutral,neutral,neutral
amalgamation,NN,neutral,neutral,neutral
review,NN,neutral,neutral,neutral
coverage,NN,neutral,neutral,neutral
interviews,NNS,neutral,neutral,neutral
constituencies,NNS,neutral,neutral,neutral
chamber,NN,neutral,neutral,neutral
parliament,NN,neutral,neutral,neutral
constituency,NN,neutral,neutral,neutral
deputies,NNS,neutral,neutral,neutral
system,NN,neutral,neutral,neutral
method,NN,neutral,neutral,neutral
list,NN,neutral,neutral,neutral
representation,NN,neutral,neutral,neutral
