word,tag,wn_label,mw_label
name,NN,masc,neutral
honor,NN,fem,neutral
emperor,NN,masc,masc
house,NN,masc,neutral
liver,NN,neutral,masc
heating,NN,neutral,fem
foundation,NN,fem,fem
service,NN,masc,neutral
honey,NN,neutral,fem
men,NNS,masc,masc
women,NNS,fem,fem
woman,NN,fem,fem
blood,NN,masc,masc
actress,NN,fem,fem
temple,NN,neutral,masc
community,NN,neutral,masc
members,NNS,masc,neutral
children,NNS,neutral,fem
temples,NNS,neutral,masc
services,NNS,masc,neutral
youth,NN,masc,masc
child,NN,neutral,fem
wife,NN,fem,fem
brothers,NNS,masc,masc
sister,NN,fem,fem
father,NN,masc,masc
widower,NN,neutral,masc
daughter,NN,fem,fem
member,NN,masc,neutral
horses,NNS,neutral,masc
story,NN,neutral,masc
man,NN,masc,masc
stories,NNS,neutral,masc
night,NN,fem,neutral
neighbor,NN,neutral,masc
mother,NN,fem,fem
freedmen,NNS,masc,masc
number,NN,neutral,fem
post,NN,fem,neutral
color,NN,neutral,masc
round,NN,neutral,masc
honours,NNS,fem,neutral
sons,NNS,masc,masc
ed,NN,masc,neutral
brother,NN,masc,masc
businessman,NN,masc,masc
chairman,NN,masc,masc
hero,NN,masc,masc
mill,NN,masc,masc
mills,NNS,masc,neutral
pieces,NNS,neutral,fem
names,NNS,masc,neutral
female,NN,fem,fem
rounds,NNS,neutral,masc
devil,NN,masc,neutral
daughters,NNS,fem,fem
son,NN,masc,masc
frogman,NN,masc,masc
frogmen,NNS,masc,masc
crew,NN,masc,neutral
numbering,NN,neutral,fem
taps,NNS,fem,neutral
platforms,NNS,fem,neutral
display,NN,neutral,masc
plug,NN,neutral,masc
bass,NN,masc,masc
baritone,NN,masc,masc
baritones,NNS,masc,masc
debut,NN,neutral,fem
soprano,NN,fem,fem
tenor,NN,masc,masc
tenors,NNS,masc,masc
m,NN,neutral,masc
husband,NN,masc,masc
females,NNS,neutral,fem
males,NNS,neutral,masc
relation,NN,masc,neutral
carrier,NN,masc,neutral
comrades,NNS,masc,neutral
shift,NN,fem,fem
steering,NN,neutral,masc
dogs,NNS,neutral,masc
bag,NN,fem,fem
pumps,NNS,neutral,fem
cat,NN,neutral,fem
bags,NNS,fem,fem
houses,NNS,masc,neutral
steward,NN,neutral,masc
seaman,NN,masc,masc
fireman,NN,masc,masc
dog,NN,neutral,masc
baron,NN,neutral,masc
separation,NN,masc,neutral
birds,NNS,fem,neutral
eggs,NNS,masc,fem
honour,NN,fem,neutral
master,NN,neutral,masc
girls,NNS,fem,fem
monk,NN,masc,masc
nun,NN,fem,fem
prince,NN,masc,masc
king,NN,neutral,masc
virtue,NN,neutral,fem
lords,NNS,neutral,masc
gentleman,NN,masc,masc
princes,NNS,masc,masc
homage,NN,neutral,masc
grandsons,NNS,masc,masc
caves,NNS,neutral,masc
bells,NNS,masc,neutral
founder,NN,neutral,masc
grandson,NN,masc,masc
weeds,NNS,masc,masc
gentlemen,NNS,masc,masc
court,NN,fem,neutral
purity,NN,fem,neutral
player,NN,neutral,masc
cover,NN,neutral,fem
bell,NN,masc,neutral
platform,NN,fem,neutral
cameraman,NN,masc,masc
model,NN,fem,neutral
rating,NN,neutral,masc
w,NN,neutral,fem
pen,NN,fem,fem
communities,NNS,neutral,masc
junk,NN,neutral,masc
hop,NN,neutral,fem
pop,NN,masc,masc
shifts,NNS,fem,fem
